LSOA11CD,LSOA11NM,Mean_Price
E01000035,Barking and Dagenham 010A,169496.43
E01000042,Barking and Dagenham 017B,169562.47
E01002078,Haringey 015C,169616.15
E01003517,Newham 036E,169629.09
E01004090,Sutton 021A,169904.17
E01002284,Havering 004C,169925.74
E01001578,Greenwich 003D,170025.38
E01001634,Greenwich 009C,170445.83
E01000408,Bexley 004D,170527.86
E01001458,Enfield 037A,170706.09
E01000083,Barking and Dagenham 007F,170748.16
E01000059,Barking and Dagenham 013C,170823.61
E01001414,Enfield 004E,171075.15
E01001425,Enfield 027B,171131.37
E01000081,Barking and Dagenham 007D,171143.52
E01000052,Barking and Dagenham 019D,171587.20
E01004186,Sutton 004D,171715.14
E01000626,Brent 010E,172100.00
E01000062,Barking and Dagenham 006D,172157.31
E01000435,Bexley 010E,172250.00
E01000073,Barking and Dagenham 012B,172340.79
E01001460,Enfield 024B,172641.87
E01000018,Barking and Dagenham 009D,172656.36
E01000430,Bexley 008C,172697.82
E01001574,Greenwich 008D,172816.67
E01003524,Newham 019D,172961.38
E01000111,Barking and Dagenham 002D,172966.44
E01000055,Barking and Dagenham 018B,173287.59
E01001263,Ealing 010D,173452.82
E01033153,Waltham Forest 020G,173663.94
E01003540,Newham 029C,173774.04
E01000367,Bexley 010A,173918.50
E01033740,Greenwich 002F,173968.60
E01000078,Barking and Dagenham 007B,174024.10
E01000041,Barking and Dagenham 017A,174030.02
E01000009,Barking and Dagenham 016B,174030.69
E01001191,Croydon 008D,174360.51
E01000338,Bexley 003E,174412.12
E01002037,Haringey 002B,174457.35
E01002038,Haringey 037B,174457.35
E01002039,Haringey 002C,174457.35
E01001698,Greenwich 015A,174544.64
E01032564,Lewisham 037E,174568.61
E01000013,Barking and Dagenham 013A,174611.43
E01004334,Waltham Forest 024B,174624.03
E01004335,Waltham Forest 027A,174624.03
E01000100,Barking and Dagenham 004B,174714.64
E01004083,Sutton 019A,174907.99
E01000103,Barking and Dagenham 014A,175000.00
E01003633,Newham 020C,175399.80
E01001515,Enfield 015E,175459.48
E01000725,Bromley 023B,175499.07
E01003479,Newham 035A,175526.61
E01003410,Merton 012E,175973.48
E01001043,Croydon 027B,176155.04
E01000020,Barking and Dagenham 023B,176324.78
E01001181,Croydon 015E,176372.22
E01002542,Hillingdon 020D,176420.87
E01001180,Croydon 016E,176520.95
E01002449,Hillingdon 032C,176533.42
E01033741,Greenwich 002G,176570.35
E01000056,Barking and Dagenham 018C,176694.56
E01000045,Barking and Dagenham 017C,176749.48
E01001136,Croydon 007A,176766.62
E01003496,Newham 027A,176770.83
E01000016,Barking and Dagenham 009B,176776.20
E01001151,Croydon 005C,176900.88
E01001575,Greenwich 003A,177214.29
E01033743,Greenwich 002H,177256.62
E01000744,Bromley 009B,177298.87
E01002278,Havering 001B,177341.07
E01001059,Croydon 034B,177534.74
E01003265,Lewisham 031B,177643.10
E01000418,Bexley 002B,177715.04
E01002375,Havering 028E,177745.00
E01001410,Enfield 005C,177770.53
E01000368,Bexley 010B,178003.33
E01000729,Bromley 014A,178106.72
E01003587,Newham 004C,178112.22
E01001178,Croydon 015D,178233.73
E01000104,Barking and Dagenham 014B,178257.69
E01032581,Redbridge 034G,178317.67
E01003718,Redbridge 034E,178340.61
E01002082,Haringey 013A,178899.00
E01004340,Waltham Forest 027E,178952.98
E01000023,Barking and Dagenham 008C,179050.00
E01004141,Sutton 012C,179051.82
E01000385,Bexley 028C,179114.13
E01000024,Barking and Dagenham 008D,179238.83
E01001113,Croydon 013D,179346.24
E01001114,Croydon 013E,179588.46
E01003631,Newham 020A,179841.21
E01002250,Havering 017E,179851.09
E01000050,Barking and Dagenham 019C,179935.44
E01000051,Barking and Dagenham 021D,179935.44
E01001116,Croydon 013F,179943.55
E01003605,Newham 028C,179970.12
E01004570,Wandsworth 023B,180123.11
E01003338,Lewisham 006A,180142.36
E01002547,Hillingdon 023E,180335.12
E01003538,Newham 029A,180469.88
E01001632,Greenwich 007C,180507.99
E01002519,Hillingdon 022D,180710.14
E01000613,Brent 013E,180752.40
E01003248,Lewisham 002B,180929.79
E01001757,Hackney 016C,180953.36
E01001118,Croydon 020E,181010.84
E01000033,Barking and Dagenham 006A,181012.80
E01001633,Greenwich 009B,181066.67
E01003732,Redbridge 032D,181143.67
E01002040,Haringey 002D,181152.78
E01003239,Lewisham 037D,181289.21
E01000098,Barking and Dagenham 023D,181346.07
E01001006,Croydon 016A,181394.31
E01001009,Croydon 019C,181471.88
E01000781,Bromley 001C,181497.63
E01003377,Merton 012C,181500.00
E01003591,Newham 004D,181576.79
E01002279,Havering 002B,181582.02
E01001671,Greenwich 033B,181764.21
E01000049,Barking and Dagenham 021C,181766.67
E01001078,Croydon 032D,181905.21
E01003523,Newham 024A,181968.75
E01002066,Haringey 025A,182052.71
E01001042,Croydon 024B,182126.27
E01003238,Lewisham 037C,182266.83
E01000019,Barking and Dagenham 023A,182587.55
E01003578,Newham 003A,182639.69
E01032575,Haringey 037D,182642.86
E01000743,Bromley 009A,182745.46
E01032742,Havering 013F,182849.27
E01003563,Newham 011C,182902.98
E01003493,Newham 025B,182920.63
E01003373,Merton 018A,183043.90
E01001082,Croydon 032E,183081.90
E01001487,Enfield 023C,183171.57
E01000025,Barking and Dagenham 008E,183297.85
E01000782,Bromley 001D,183368.99
E01000477,Brent 026D,183466.07
E01032565,Lewisham 038E,183621.80
E01003728,Redbridge 032A,183697.64
E01000014,Barking and Dagenham 013B,183765.70
E01001219,Ealing 029A,183768.94
E01001220,Ealing 029B,183768.94
E01002264,Havering 026E,183799.02
E01000112,Barking and Dagenham 002E,183838.15
E01000107,Barking and Dagenham 010C,183992.93
E01004008,Southwark 022B,184062.70
E01001373,Ealing 037G,184092.49
E01032579,Lewisham 039E,184096.57
