LSOA11CD,LSOA11NM,Mean_Price
E01001175,Croydon 011B,212225.05
E01002245,Havering 011B,212242.78
E01001684,Greenwich 017C,212351.72
E01003714,Redbridge 034B,212465.78
E01001646,Greenwich 019A,212627.33
E01004328,Waltham Forest 028B,212645.85
E01003621,Newham 023C,212651.39
E01001732,Hackney 019C,212704.17
E01003490,Newham 019C,212931.90
E01002950,Kingston upon Thames 020E,212943.03
E01032574,Enfield 037E,212943.62
E01000154,Barnet 026E,213004.76
E01002097,Haringey 005D,213019.98
E01001023,Croydon 041C,213056.99
E01004372,Waltham Forest 023C,213078.70
E01003302,Lewisham 003D,213248.21
E01002261,Havering 026B,213312.27
E01002365,Havering 023D,213362.57
E01002246,Havering 017A,213391.89
E01003527,Newham 024B,213431.46
E01003528,Newham 005A,213431.46
E01004350,Waltham Forest 001B,213458.82
E01003024,Lambeth 021D,213486.26
E01001257,Ealing 008A,213508.76
E01003494,Newham 025C,213511.83
E01002325,Havering 011C,213557.81
E01003534,Newham 010E,213579.17
E01003535,Newham 023A,213579.17
E01002369,Havering 028B,213632.48
E01000976,Croydon 022B,213664.45
E01001559,Enfield 033F,213673.61
E01000622,Brent 010D,213839.81
E01001492,Enfield 025E,213852.41
E01000722,Bromley 023A,213909.73
E01003551,Newham 009A,214065.56
E01002599,Hounslow 025C,214068.31
E01003263,Lewisham 023A,214098.02
E01002443,Hillingdon 032A,214199.15
E01001014,Croydon 024A,214211.32
E01002404,Hillingdon 024E,214235.42
E01001372,Ealing 037F,214255.56
E01002527,Hillingdon 031D,214300.36
E01003583,Newham 002D,214310.22
E01002553,Hillingdon 025E,214310.87
E01000391,Bexley 021E,214320.22
E01002139,Harrow 006A,214400.00
E01003727,Redbridge 003D,214403.06
E01001328,Ealing 009C,214441.65
E01000331,Bexley 017E,214442.53
E01001467,Enfield 031D,214498.01
E01002244,Havering 011A,214521.81
E01001448,Enfield 003D,214560.37
E01004155,Sutton 018B,214564.50
E01002307,Havering 003E,214607.31
E01004014,Southwark 019E,214659.69
E01001172,Croydon 028D,214707.69
E01003645,Redbridge 017D,214770.57
E01004209,Tower Hamlets 011B,214852.71
E01004302,Tower Hamlets 025C,214918.23
E01000152,Barnet 026C,215090.00
E01001090,Croydon 004D,215140.93
E01003435,Merton 014E,215160.48
E01002309,Havering 006A,215262.47
E01000393,Bexley 020G,215269.29
E01001506,Enfield 014B,215302.36
E01033582,Newham 037H,215355.09
E01000407,Bexley 005D,215434.31
E01000417,Bexley 006B,215438.16
E01004124,Sutton 002B,215502.06
E01002425,Hillingdon 018D,215506.89
E01003702,Redbridge 006E,215571.58
E01001529,Enfield 032C,215601.26
E01000462,Bexley 026E,215644.62
E01002266,Havering 027A,215705.72
E01001213,Ealing 023A,215726.67
E01001214,Ealing 023B,215726.67
E01000037,Barking and Dagenham 003B,215769.39
E01004152,Sutton 018A,215859.82
E01000482,Brent 009C,215900.00
E01001555,Enfield 033C,215952.38
E01003599,Newham 022C,215987.28
E01000728,Bromley 019E,216160.27
E01004165,Sutton 005C,216365.02
E01001326,Ealing 008C,216553.90
E01001035,Croydon 027A,216583.61
E01000125,Barnet 024A,216600.72
E01001503,Enfield 018E,216691.30
E01004454,Waltham Forest 006C,216703.53
E01004428,Waltham Forest 026B,216777.22
E01004398,Waltham Forest 009A,216783.28
E01003304,Lewisham 039D,216785.72
E01003546,Newham 001C,216817.06
E01002029,Haringey 016B,217000.80
E01002374,Havering 027E,217015.71
E01000997,Croydon 009D,217082.71
E01000785,Bromley 001F,217212.43
E01003389,Merton 013C,217239.18
E01004103,Sutton 013B,217242.30
E01001262,Ealing 010C,217339.20
E01003511,Newham 036A,217341.53
E01004011,Southwark 019B,217357.14
E01033710,Hackney 028E,217391.78
E01002407,Hillingdon 030A,217488.02
E01001265,Ealing 006A,217494.36
E01002557,Hounslow 023A,217571.58
E01003989,Southwark 018C,217600.00
E01000600,Brent 027E,217614.58
E01000787,Bromley 029C,217712.05
E01003558,Newham 008B,217714.29
E01004003,Southwark 023B,217858.33
E01001271,Ealing 001B,217884.60
E01001504,Enfield 012B,217924.07
E01004413,Waltham Forest 004C,217928.67
E01001037,Croydon 029B,217948.30
E01004243,Tower Hamlets 020A,217952.96
E01003480,Newham 033A,217965.36
E01033083,Hounslow 018F,218013.76
E01003325,Lewisham 018D,218058.88
E01004172,Sutton 010B,218161.80
E01003549,Newham 006C,218209.17
E01003518,Newham 032D,218230.56
E01000127,Barnet 024B,218285.71
E01000634,Brent 019E,218287.84
E01003483,Newham 032A,218337.50
E01001010,Croydon 019D,218355.68
E01002319,Havering 016A,218496.03
E01000721,Bromley 019C,218508.33
E01003988,Southwark 018B,218607.81
E01002598,Hounslow 025B,218625.71
E01003781,Redbridge 026A,218633.45
E01003725,Redbridge 003C,218663.96
E01004151,Sutton 021D,218804.99
E01002295,Havering 010C,218809.87
E01002069,Haringey 024B,218814.30
E01001850,Hackney 019F,218843.75
E01002359,Havering 020A,219067.01
E01003720,Redbridge 002A,219118.25
E01033578,Newham 013E,219198.65
E01001551,Enfield 002E,219223.21
E01003492,Newham 025A,219239.06
E01003376,Merton 012B,219252.13
E01002366,Havering 023E,219359.99
E01000735,Bromley 014C,219371.19
E01004419,Waltham Forest 008E,219392.02
E01001423,Enfield 027A,219471.72
E01000043,Barking and Dagenham 019B,219477.18
E01000999,Croydon 009E,219486.27
E01001194,Croydon 045D,219561.13
E01000984,Croydon 022F,219581.58
E01033148,Enfield 003F,219607.19
E01000360,Bexley 015A,219801.76
E01002291,Havering 023B,219805.46
E01000980,Croydon 017A,219872.27
E01000741,Bromley 005B,219985.60
E01002373,Havering 027D,220003.68
E01003060,Lambeth 011E,220164.17
E01001957,Hammersmith and Fulham 002B,220250.00
E01001139,Croydon 007B,220262.85
E01000347,Bexley 021B,220309.68
E01004156,Sutton 018C,220350.53
E01001165,Croydon 024C,220390.22
E01003258,Lewisham 028C,220429.76
E01002541,Hillingdon 023A,220528.32
E01003628,Newham 015D,220563.24
E01004400,Waltham Forest 009C,220570.07
E01003721,Redbridge 003A,220660.31
E01002445,Hillingdon 029A,220674.11
E01002612,Hounslow 024E,220802.59
E01001528,Enfield 032B,220846.83
E01002322,Havering 021C,220940.24
E01001267,Ealing 006C,221146.16
E01004268,Tower Hamlets 012E,221242.58
E01003393,Merton 008C,221441.16
E01001050,Croydon 023D,221480.06
E01004393,Waltham Forest 014B,221485.86
E01002329,Havering 011D,221544.75
E01003525,Newham 018D,221558.62
E01002624,Hounslow 017A,221630.50
E01004420,Waltham Forest 020C,221634.62
E01000329,Bexley 017C,221660.11
E01002613,Hounslow 024F,221812.64
E01004166,Sutton 004B,221865.40
E01001623,Greenwich 025C,221884.64
E01001046,Croydon 023B,221934.18
E01000738,Bromley 014D,222145.62
E01001340,Ealing 029G,222274.08
E01002080,Haringey 015D,222358.46
E01000384,Bexley 027B,222393.75
E01003588,Newham 011D,222400.00
E01003768,Redbridge 024C,222412.90
E01001440,Enfield 012A,222414.13
E01003452,Merton 024E,222419.55
E01000398,Bexley 029A,222433.12
E01000437,Bexley 007A,222452.94
E01002615,Hounslow 026E,222468.75
E01000806,Bromley 009F,222623.44
E01004630,Wandsworth 022B,222626.77
E01001434,Enfield 007B,222688.55
E01004375,Waltham Forest 025D,222714.06
E01002555,Hounslow 022A,222800.21
E01000736,Bromley 010C,222813.03
E01003688,Redbridge 030F,222857.14
E01002408,Hillingdon 019A,222880.80
E01004272,Tower Hamlets 014D,222888.03
E01003640,Redbridge 013B,222927.90
E01001318,Ealing 003D,222961.54
E01002130,Harrow 020B,223000.17
E01001218,Ealing 012A,223091.43
E01003557,Newham 006D,223188.38
E01004423,Waltham Forest 020D,223190.97
E01003619,Newham 012D,223238.55
E01004127,Sutton 005A,223268.07
E01002405,Hillingdon 027A,223270.27
E01003337,Lewisham 010B,223408.33
E01001704,Greenwich 011F,223465.08
E01003572,Newham 008E,223499.00
E01003432,Merton 019D,223538.10
E01002590,Hounslow 022C,223616.50
E01003548,Newham 006B,223675.55
E01003684,Redbridge 030B,223685.71
E01002327,Havering 009A,223723.96
E01001041,Croydon 031C,223769.42
E01002491,Hillingdon 032D,223772.27
E01003568,Newham 017A,223838.08
E01003569,Newham 017B,223838.08
E01004327,Waltham Forest 028A,223848.18
E01003433,Merton 019E,223940.29
E01000153,Barnet 026D,223945.98
E01002265,Havering 025A,223955.96
E01002377,Havering 010D,223987.24
E01003672,Redbridge 007E,224228.71
E01002160,Harrow 021B,224231.77
E01002298,Havering 007D,224294.63
E01001140,Croydon 007C,224325.50
E01000400,Bexley 029C,224414.93
E01004384,Waltham Forest 003A,224419.55
E01002276,Havering 001A,224439.52
E01003729,Redbridge 032B,224463.89
E01002402,Hillingdon 024C,224491.46
E01004448,Waltham Forest 018D,224598.03
E01001557,Enfield 033D,224896.69
E01003602,Newham 026C,224997.70
E01002075,Haringey 015A,225000.34
E01003708,Redbridge 008B,225185.76
E01001365,Ealing 026F,225280.90
E01004444,Waltham Forest 017D,225285.86
E01003132,Lambeth 024A,225323.16
E01002446,Hillingdon 031B,225376.42
E01001433,Enfield 007A,225434.72
E01002041,Haringey 037C,225465.66
E01001552,Enfield 001D,225473.27
E01001489,Enfield 023D,225516.03
E01003448,Merton 023D,225581.47
E01001193,Croydon 014E,225649.07
E01003150,Lambeth 032F,225663.52
E01001683,Greenwich 017B,225675.00
E01003616,Newham 012A,225703.23
E01002360,Havering 020B,225735.70
E01002332,Havering 009C,225751.40
E01004435,Waltham Forest 023E,225843.60
E01004432,Waltham Forest 023D,225936.21
E01000369,Bexley 014C,225978.88
E01002312,Havering 001C,226018.36
E01004331,Waltham Forest 028E,226057.39
E01001553,Enfield 037B,226152.78
E01000981,Croydon 017B,226181.81
E01002508,Hillingdon 026E,226203.70
E01002328,Havering 009B,226255.83
E01001611,Greenwich 023D,226257.92
E01003482,Newham 033B,226378.82
E01003947,Southwark 033C,226488.27
E01004187,Sutton 005E,226534.23
E01003313,Lewisham 027E,226602.61
E01001040,Croydon 029E,226614.13
E01004149,Sutton 012E,226645.66
E01000171,Barnet 006B,226665.42
E01002620,Hounslow 004A,226861.36
E01002492,Hillingdon 030E,226896.46
E01032568,Bromley 041E,226899.74
E01000608,Brent 013D,226985.54
E01002556,Hounslow 022B,227049.51
E01001542,Enfield 008E,227132.17
E01003125,Lambeth 006E,227230.16
E01004332,Waltham Forest 028F,227244.16
E01002734,Islington 005B,227253.19
E01000699,Bromley 015A,227291.23
E01002079,Haringey 012C,227303.56
E01004391,Waltham Forest 014A,227316.86
E01002641,Hounslow 018A,227319.97
E01000473,Brent 029B,227392.67
E01000029,Barking and Dagenham 001C,227479.34
E01000451,Bexley 009F,227605.70
E01003566,Newham 014D,227750.00
E01004049,Southwark 027D,227821.07
E01001215,Ealing 023C,227823.59
E01000381,Bexley 028A,227839.21
E01004177,Sutton 020C,227840.42
E01003086,Lambeth 031D,227936.65
E01003411,Merton 014C,228013.32
E01002520,Hillingdon 016B,228053.45
E01001824,Hackney 004D,228111.11
E01001825,Hackney 001E,228111.11
E01002486,Hillingdon 028A,228252.78
E01000066,Barking and Dagenham 011A,228293.61
E01003495,Newham 025D,228312.45
E01002560,Hounslow 023D,228443.91
E01004329,Waltham Forest 028C,228456.28
E01000635,Brent 020D,228458.09
E01001367,Ealing 037B,228479.17
E01003378,Merton 018B,228598.90
E01003388,Merton 013B,228624.95
E01001436,Enfield 007D,228686.89
E01002548,Hillingdon 025A,228836.98
E01003632,Newham 020B,229087.32
E01003974,Southwark 015E,229100.00
E01001397,Enfield 035C,229185.10
E01002202,Harrow 012E,229191.67
E01004394,Waltham Forest 017B,229213.88
E01003661,Redbridge 019A,229220.95
E01002413,Hillingdon 022B,229369.50
E01002603,Hounslow 025E,229443.94
E01002371,Havering 028D,229455.60
E01004047,Southwark 027B,229458.13
E01002601,Hounslow 027B,229511.39
E01002072,Haringey 025D,229520.60
E01001444,Enfield 001A,229538.99
E01002217,Harrow 028D,229563.39
E01003440,Merton 022D,229676.15
E01003742,Redbridge 031F,229676.20
E01004463,Waltham Forest 012E,229677.97
E01001190,Croydon 045C,229831.52
E01003967,Southwark 016B,229900.00
E01003968,Southwark 015C,229900.00
E01003280,Lewisham 016A,229999.92
E01003564,Newham 014B,230030.27
E01003663,Redbridge 019C,230166.89
E01001047,Croydon 027D,230171.08
E01000308,Barnet 036D,230286.19
E01000996,Croydon 009C,230361.66
E01003439,Merton 023C,230396.24
E01003520,Newham 018A,230404.76
E01004143,Sutton 014A,230429.85
E01033592,Redbridge 019I,230466.29
E01000328,Bexley 017B,230482.32
E01001488,Enfield 024E,230496.68
E01001327,Ealing 009B,230604.03
E01003290,Lewisham 012C,230637.70
E01004036,Southwark 007E,230651.47
E01002032,Haringey 010C,230672.54
E01002526,Hillingdon 028C,230696.50
E01002426,Hillingdon 021F,230704.05
E01001550,Enfield 006E,230728.13
E01001169,Croydon 028B,230813.89
E01002100,Haringey 008B,230862.17
E01001516,Enfield 005D,230880.21
E01003162,Lambeth 022E,230911.53
E01001238,Ealing 015B,230918.66
E01002218,Harrow 030A,230986.91
E01003990,Southwark 018D,231053.57
E01002348,Havering 029C,231112.13
E01001323,Ealing 004D,231113.23
E01003526,Newham 018E,231194.31
E01001512,Enfield 015D,231234.06
E01002507,Hillingdon 027F,231247.88
E01002076,Haringey 015B,231276.52
E01002077,Haringey 012B,231276.52
E01002529,Hillingdon 029C,231319.72
E01002646,Hounslow 017B,231325.40
E01003431,Merton 019C,231371.28
E01002305,Havering 005B,231400.90
E01002558,Hounslow 023B,231455.72
E01002593,Hounslow 024B,231475.84
E01002046,Haringey 026C,231498.36
E01003706,Redbridge 010B,231570.58
E01003438,Merton 024A,231575.68
E01003301,Lewisham 003C,231664.64
E01001594,Greenwich 014D,231714.97
E01001617,Greenwich 028D,231735.24
E01002551,Hillingdon 025C,231736.18
E01002424,Hillingdon 018C,231752.27
E01004146,Sutton 007C,231892.92
E01000411,Bexley 016D,231920.76
E01003179,Lambeth 024E,231948.58
E01033322,Lewisham 017F,232021.94
E01002403,Hillingdon 024D,232022.04
E01002073,Haringey 024D,232083.22
E01000975,Croydon 022A,232290.47
E01004005,Southwark 023D,232463.35
E01000733,Bromley 023E,232537.93
E01000420,Bexley 006D,232557.41
E01003552,Newham 016A,232600.63
E01001547,Enfield 002C,232633.63
E01003529,Newham 010A,232691.29
E01004039,Southwark 013B,232765.04
E01000455,Bexley 013D,232828.38
E01001138,Croydon 001B,232848.85
E01033579,Newham 013F,232856.56
E01001654,Greenwich 029B,232872.16
E01001602,Greenwich 031C,232880.83
E01002496,Hillingdon 033A,233021.22
E01001034,Croydon 031B,233096.40
E01002105,Haringey 007D,233134.36
E01003767,Redbridge 024B,233344.64
E01001065,Croydon 034E,233402.46
E01002611,Hounslow 024D,233425.59
E01003450,Merton 024C,233453.41
E01003513,Newham 035D,233459.20
E01000352,Bexley 021D,233563.15
E01001189,Croydon 045B,233569.37
E01033320,Lewisham 017E,233593.33
E01003331,Lewisham 033C,233597.19
E01002945,Kingston upon Thames 019B,233683.48
E01003751,Redbridge 020A,233694.15
E01002233,Harrow 011B,233704.57
E01000032,Barking and Dagenham 002B,233757.22
E01002301,Havering 003A,233786.13
E01002502,Hillingdon 026C,233833.33
E01002180,Harrow 013B,233854.79
E01004344,Waltham Forest 008B,233880.42
E01004175,Sutton 010D,233888.82
E01002608,Hounslow 028A,233915.10
E01004137,Sutton 012A,233997.97
E01002395,Hillingdon 021B,234043.65
E01004170,Sutton 017B,234173.77
E01003560,Newham 011B,234187.50
E01003565,Newham 014C,234340.28
E01003427,Merton 023A,234374.19
E01002401,Hillingdon 024B,234420.47
E01004345,Waltham Forest 010A,234483.73
E01004160,Sutton 014D,234535.31
E01003666,Redbridge 019F,234610.61
E01002394,Hillingdon 021A,234622.14
E01002457,Hillingdon 019E,234654.76
E01033424,Brent 017F,234655.25
E01001183,Croydon 011E,234703.03
E01002255,Havering 022A,234729.62
E01001459,Enfield 024A,234776.17
E01002568,Hounslow 003D,234779.86
E01001317,Ealing 003C,234797.93
E01003413,Merton 017A,234805.29
E01002323,Havering 021D,234837.89
E01000704,Bromley 015C,234861.91
E01003634,Newham 020D,234916.67
E01004255,Tower Hamlets 023C,234989.18
E01003922,Southwark 021D,234999.22
E01003769,Redbridge 022A,235002.98
E01000526,Brent 025D,235117.97
E01003782,Redbridge 026B,235159.02
E01000453,Bexley 013B,235326.79
E01002503,Hillingdon 027C,235409.58
E01002260,Havering 026A,235440.69
E01002215,Harrow 031B,235473.13
E01000110,Barking and Dagenham 002C,235479.40
E01003296,Lewisham 012E,235507.90
E01003658,Redbridge 004C,235516.37
E01001477,Enfield 018B,235522.53
E01000340,Bexley 018A,235529.44
E01003704,Redbridge 006G,235612.01
E01003374,Merton 022A,235645.83
E01001597,Greenwich 031A,235712.50
E01003685,Redbridge 030C,235775.00
E01003594,Newham 026A,235788.89
E01003977,Southwark 010A,235840.21
E01001435,Enfield 007C,235841.07
E01001667,Greenwich 036B,235867.90
E01001344,Ealing 007A,235888.12
E01000450,Bexley 009E,235888.39
E01000654,Bromley 039A,236149.79
E01000676,Bromley 008B,236173.88
E01004076,Sutton 011A,236220.07
E01000366,Bexley 015D,236357.57
E01001128,Croydon 025B,236388.89
E01004365,Waltham Forest 020A,236428.92
E01000452,Bexley 009G,236582.52
E01003075,Lambeth 009C,236668.35
E01001161,Croydon 003D,236774.86
E01003350,Lewisham 030C,236877.72
E01001484,Enfield 016C,236929.72
E01002045,Haringey 026B,237027.78
E01001624,Greenwich 025D,237103.29
E01004081,Sutton 011F,237251.33
E01000446,Bexley 024D,237253.50
E01002302,Havering 005A,237266.67
E01001537,Enfield 005E,237331.32
E01003841,Richmond upon Thames 013B,237360.56
E01004449,Waltham Forest 018E,237394.44
E01001294,Ealing 017A,237394.62
E01000442,Bexley 006E,237395.85
E01002600,Hounslow 025D,237402.16
E01001971,Haringey 001B,237415.28
E01001645,Greenwich 022A,237473.16
E01003916,Southwark 020B,237508.87
E01001658,Greenwich 034C,237520.69
E01003137,Lambeth 022B,237564.77
E01001463,Enfield 031A,237600.00
E01002669,Hounslow 014B,237610.82
E01003408,Merton 012D,237611.51
E01003730,Redbridge 032C,237642.36
E01001620,Greenwich 025A,237775.61
E01003731,Redbridge 033A,237798.41
E01003532,Newham 010D,237879.46
E01000409,Bexley 016C,237897.66
E01002595,Hounslow 022E,237899.99
E01001097,Croydon 037E,238036.91
E01001298,Ealing 017E,238077.78
E01002589,Hounslow 013E,238134.88
E01001428,Enfield 027C,238207.14
E01001429,Enfield 030D,238207.14
E01003174,Lambeth 024C,238213.71
E01004348,Waltham Forest 010B,238227.67
E01003336,Lewisham 010A,238272.77
E01001876,Hammersmith and Fulham 001C,238306.35
E01000011,Barking and Dagenham 016C,238409.23
E01002349,Havering 029D,238463.88
E01001261,Ealing 012C,238469.94
E01002616,Hounslow 027E,238546.86
E01001450,Enfield 015C,238673.03
E01000189,Barnet 014D,238704.61
E01003627,Newham 015C,238781.29
E01001619,Greenwich 030D,238790.76
E01001753,Hackney 025B,238818.29
E01002591,Hounslow 024A,238846.69
E01003184,Lambeth 007B,239071.43
E01002324,Havering 021E,239075.05
E01004148,Sutton 014B,239155.30
E01000134,Barnet 024F,239298.97
E01001002,Croydon 009F,239328.06
E01033325,Lewisham 008F,239364.31
E01003274,Lewisham 014B,239367.82
E01002602,Hounslow 027C,239432.98
E01002609,Hounslow 028B,239442.21
E01001174,Croydon 011A,239506.13
E01002487,Hillingdon 028B,239576.16
E01002126,Harrow 023A,239627.81
E01000983,Croydon 017D,239718.75
E01001811,Hackney 002D,239960.65
E01004241,Tower Hamlets 012B,240021.01
E01000133,Barnet 021C,240076.67
E01001478,Enfield 016B,240102.88
E01003699,Redbridge 006B,240104.41
E01002442,Hillingdon 003E,240176.68
E01001649,Greenwich 022D,240216.69
E01004181,Sutton 020E,240254.74
E01004370,Waltham Forest 023B,240295.33
E01004167,Sutton 005D,240362.47
E01004176,Sutton 010E,240431.51
E01004094,Sutton 025B,240633.03
E01004382,Waltham Forest 008C,240714.35
E01003559,Newham 009D,240728.41
E01003639,Redbridge 013A,240803.25
E01003519,Newham 032E,240805.84
E01004163,Sutton 005B,240846.05
E01004369,Waltham Forest 023A,240947.37
E01000723,Bromley 029A,241119.98
E01002003,Haringey 023C,241140.28
E01002409,Hillingdon 019B,241178.67
E01002128,Harrow 020A,241228.09
E01003293,Lewisham 017B,241245.62
E01003323,Lewisham 018C,241307.32
E01002224,Harrow 031E,241451.76
E01004138,Sutton 013C,241482.81
E01000130,Barnet 021A,241491.77
E01002398,Hillingdon 021D,241534.72
E01002504,Hillingdon 027D,241586.42
E01001146,Croydon 006A,241611.82
E01002932,Kingston upon Thames 006A,241621.85
E01000370,Bexley 014D,241658.70
E01003940,Southwark 006B,241756.70
E01003348,Lewisham 030B,241864.31
E01003656,Redbridge 005A,241879.30
E01001325,Ealing 009A,241917.31
E01003573,Newham 017C,241923.81
E01000992,Croydon 014A,241925.57
E01003743,Redbridge 031G,241935.16
E01001322,Ealing 004C,241999.48
E01004424,Waltham Forest 022B,242078.47
E01000657,Bromley 039D,242084.12
E01003530,Newham 010B,242117.31
E01003531,Newham 010C,242117.31
E01002258,Havering 018C,242125.92
E01000994,Croydon 009A,242260.57
E01002454,Hillingdon 014E,242364.46
E01004182,Sutton 019E,242406.80
E01004347,Waltham Forest 011C,242423.11
E01002179,Harrow 013A,242426.05
E01002400,Hillingdon 024A,242504.31
E01002455,Hillingdon 019D,242583.59
E01001058,Croydon 034A,242608.81
E01004337,Waltham Forest 027B,242669.16
E01000792,Bromley 032C,242703.80
E01001310,Ealing 001D,242726.04
E01001142,Croydon 007D,242726.68
E01000474,Brent 026B,242760.17
E01003416,Merton 017D,242772.32
E01000364,Bexley 023A,242786.74
E01002096,Haringey 005C,242883.33
E01003665,Redbridge 019E,243077.80
E01003579,Newham 004A,243123.51
E01003638,Redbridge 017A,243200.74
E01000819,Bromley 040C,243251.95
E01000611,Brent 016D,243300.00
E01003288,Lewisham 012A,243334.01
E01002456,Hillingdon 017C,243352.09
E01001514,Enfield 016E,243437.51
E01004349,Waltham Forest 001A,243582.51
E01002549,Hillingdon 025B,243624.73
E01001560,Enfield 035F,243681.02
E01001562,Enfield 037D,243681.02
E01002331,Havering 005E,243724.70
E01000655,Bromley 039B,243728.49
E01004452,Waltham Forest 005E,243769.11
E01002263,Havering 026D,243861.63
E01000412,Bexley 018E,243869.34
E01001369,Ealing 038D,243997.59
E01003275,Lewisham 014C,244045.91
E01001075,Croydon 040C,244046.83
E01001464,Enfield 027E,244089.29
E01003264,Lewisham 031A,244250.15
E01004251,Tower Hamlets 023A,244281.25
E01003151,Lambeth 026E,244344.22
E01002610,Hounslow 028C,244406.44
E01002341,Havering 008E,244407.70
E01004164,Sutton 004A,244474.79
E01004007,Southwark 018E,244491.67
E01002236,Harrow 011E,244603.71
E01000394,Bexley 015E,244768.65
E01004455,Waltham Forest 006D,244783.96
E01004456,Waltham Forest 006E,244783.96
E01002411,Hillingdon 022A,244921.83
E01003586,Newham 003C,244958.33
E01002292,Havering 022C,245001.12
E01004194,Sutton 008E,245027.54
E01000132,Barnet 021B,245094.47
E01001976,Haringey 011A,245124.86
E01003230,Lewisham 019E,245134.83
E01002439,Hillingdon 003B,245148.23
E01001171,Croydon 028C,245297.37
E01004390,Waltham Forest 003E,245318.31
E01001522,Enfield 019B,245321.20
E01001295,Ealing 017B,245376.96
E01002363,Havering 020D,245383.18
E01004256,Tower Hamlets 024C,245411.09
E01004422,Waltham Forest 022A,245634.25
E01004198,Tower Hamlets 002B,245638.39
E01000419,Bexley 006C,245678.51
E01001679,Greenwich 020A,245702.67
E01004330,Waltham Forest 028D,245710.36
E01003757,Redbridge 020D,245718.75
E01001438,Enfield 007E,245724.89
E01003309,Lewisham 027A,245744.35
E01004269,Tower Hamlets 014A,245749.79
E01001216,Ealing 023D,245815.48
E01004403,Waltham Forest 009E,245893.54
E01003353,Lewisham 030E,245918.79
E01001149,Croydon 006B,245952.63
E01004342,Waltham Forest 011A,245983.14
E01002622,Hounslow 010B,245993.35
E01001600,Greenwich 032C,246010.37
E01001661,Greenwich 029E,246019.03
E01001293,Ealing 014E,246104.67
E01002099,Haringey 008A,246107.36
E01003194,Lewisham 029B,246169.36
E01003153,Lambeth 029D,246179.54
E01004402,Waltham Forest 009D,246289.18
E01003485,Newham 035C,246350.69
E01003486,Newham 033C,246350.69
E01003487,Newham 033D,246350.69
E01003063,Lambeth 033B,246359.80
E01003453,Merton 023E,246500.14
E01003270,Lewisham 023D,246569.90
E01003686,Redbridge 030D,246811.42
E01000067,Barking and Dagenham 011B,246943.88
E01002422,Hillingdon 018A,246992.79
E01003596,Newham 016B,247089.53
E01000606,Brent 016B,247157.91
E01004115,Sutton 009A,247190.54
E01000527,Brent 025E,247206.04
E01000528,Brent 025F,247206.04
E01003121,Lambeth 006B,247284.82
E01003154,Lambeth 030E,247384.57
E01004458,Waltham Forest 012C,247437.35
E01002397,Hillingdon 021C,247453.21
E01004042,Southwark 010D,247456.95
E01002617,Hounslow 028D,247459.83
E01003992,Southwark 014A,247489.38
E01003447,Merton 016D,247555.01
E01000601,Brent 021B,247600.00
E01000602,Brent 021C,247600.00
E01000399,Bexley 029B,247607.12
E01003195,Lewisham 029C,247703.11
E01003926,Southwark 021F,247794.64
E01003386,Merton 013A,247851.43
E01003128,Lambeth 008E,247922.72
E01001264,Ealing 010E,247941.96
E01004020,Southwark 029D,248052.60
E01000570,Brent 012A,248111.26
E01002336,Havering 008C,248120.65
E01001977,Haringey 011B,248141.45
E01003436,Merton 023B,248245.39
E01003139,Lambeth 035A,248390.21
E01004439,Waltham Forest 021D,248398.72
E01000541,Brent 004E,248472.04
E01000798,Bromley 009D,248487.54
E01004250,Tower Hamlets 020D,248504.11
E01002528,Hillingdon 028D,248774.44
E01002450,Hillingdon 014A,248869.32
E01004034,Southwark 007D,248913.98
E01001044,Croydon 023A,248988.44
E01004445,Waltham Forest 018C,249033.08
E01001095,Croydon 031D,249081.02
E01000361,Bexley 020C,249087.86
E01000410,Bexley 018D,249147.27
E01004244,Tower Hamlets 020B,249202.78
E01004245,Tower Hamlets 018A,249202.78
E01003321,Lewisham 020C,249233.55
E01003753,Redbridge 020B,249388.73
E01003545,Newham 006A,249432.64
E01002663,Hounslow 017D,249539.87
E01000305,Barnet 036B,249647.82
E01000456,Bexley 013E,249659.50
E01001828,Hackney 028B,249671.72
E01002645,Hounslow 015C,249672.15
E01003375,Merton 022B,249699.82
E01002056,Haringey 032C,249774.90
E01001360,Ealing 026B,249800.00
E01001361,Ealing 023E,249800.00
E01001362,Ealing 026C,249800.00
E01001476,Enfield 018A,249917.58
E01000396,Bexley 018C,250011.14
E01001167,Croydon 028A,250105.57
E01000628,Brent 014F,250182.60
E01003741,Redbridge 031E,250353.35
E01000801,Bromley 015E,250360.71
E01001315,Ealing 003A,250423.40
E01000346,Bexley 021A,250427.99
E01002351,Havering 016C,250476.83
E01004389,Waltham Forest 003D,250656.87
E01001975,Haringey 001D,250796.06
E01003318,Lewisham 020B,251001.63
E01003253,Lewisham 002E,251066.62
E01001258,Ealing 010B,251116.67
E01002918,Kingston upon Thames 017A,251146.77
E01004024,Southwark 011C,251193.58
E01003419,Merton 025C,251316.62
E01033082,Hounslow 003G,251324.71
E01002231,Harrow 013E,251398.42
E01033576,Newham 034H,251423.96
E01001182,Croydon 011D,251442.23
E01000355,Bexley 011C,251500.01
E01001981,Haringey 018B,251614.32
E01003449,Merton 024B,251657.70
E01002340,Havering 009F,251667.14
E01000727,Bromley 028A,251756.17
E01000683,Bromley 035C,251783.21
E01002552,Hillingdon 025D,251788.69
